organizationSlug,branchCode,employeeCode,firstName,lastName,phone,hireDate,status,employmentType,email,positionCode,compensationProfileCode,userEmail
nimbus,ROOFTOP_BAR,EMP-022,Ivan,Ocen,+256702100021,2025-02-02T06:00:00Z,ACTIVE,PERMANENT,ivan.ocen@nimbus.demo,ROOFTOP_BAR-CHEF,ROOFTOP_BAR-KITCHEN,
nimbus,GARDEN_CAFE,EMP-023,Doreen,Nambi,+256702100022,2025-03-03T06:00:00Z,ACTIVE,PERMANENT,doreen.nambi@nimbus.demo,GARDEN_CAFE-WAITER,GARDEN_CAFE-SERVICE,
nimbus,EVENTS_KITCHEN,EMP-024,Nicholas,Bukenya,+256702100023,2025-04-04T06:00:00Z,ACTIVE,CASUAL,nicholas.bukenya@nimbus.demo,EVENTS_KITCHEN-CASUAL,EVENTS_KITCHEN-CASUAL,
nimbus,TAPAS_DOWNTOWN,EMP-025,Faith,Kabanda,+256702100024,2025-05-05T06:00:00Z,ACTIVE,CASUAL,faith.kabanda@nimbus.demo,TAPAS_DOWNTOWN-CASUAL,TAPAS_DOWNTOWN-CASUAL,
nimbus,ROOFTOP_BAR,EMP-026,Paul,Ouma,+256702100025,2025-06-06T06:00:00Z,ACTIVE,PERMANENT,paul.ouma@nimbus.demo,ROOFTOP_BAR-WAITER,ROOFTOP_BAR-SERVICE,
nimbus,GARDEN_CAFE,EMP-027,Anita,Kyomuhendo,+256702100026,2025-07-07T06:00:00Z,ACTIVE,PERMANENT,anita.kyomuhendo@nimbus.demo,GARDEN_CAFE-EVENT,GARDEN_CAFE-MGR,
nimbus,EVENTS_KITCHEN,EMP-028,George,Ssempa,+256702100027,2025-08-08T06:00:00Z,ACTIVE,CASUAL,george.ssempa@nimbus.demo,EVENTS_KITCHEN-CASUAL,EVENTS_KITCHEN-CASUAL,
nimbus,TAPAS_DOWNTOWN,EMP-029,Brenda,Nakato,+256702100028,2025-09-09T06:00:00Z,ACTIVE,PERMANENT,brenda.nakato@nimbus.demo,TAPAS_DOWNTOWN-CHEF,TAPAS_DOWNTOWN-KITCHEN,
nimbus,ROOFTOP_BAR,EMP-030,Ronald,Arinaitwe,+256702100029,2025-10-10T06:00:00Z,ACTIVE,PERMANENT,ronald.arinaitwe@nimbus.demo,ROOFTOP_BAR-CASHIER,ROOFTOP_BAR-SERVICE,
nimbus,GARDEN_CAFE,EMP-031,Claire,Nabukeera,+256702100030,2025-01-11T06:00:00Z,ACTIVE,PERMANENT,claire.nabukeera@nimbus.demo,GARDEN_CAFE-CASHIER,GARDEN_CAFE-SERVICE,
nimbus,EVENTS_KITCHEN,EMP-032,Stephen,Kizza,+256702100031,2025-02-12T06:00:00Z,ACTIVE,CASUAL,stephen.kizza@nimbus.demo,EVENTS_KITCHEN-CASUAL,EVENTS_KITCHEN-CASUAL,
nimbus,TAPAS_DOWNTOWN,EMP-033,Lucy,Alupo,+256702100032,2025-03-13T06:00:00Z,ACTIVE,CASUAL,lucy.alupo@nimbus.demo,TAPAS_DOWNTOWN-CASUAL,TAPAS_DOWNTOWN-CASUAL,
nimbus,ROOFTOP_BAR,EMP-034,Mark,Mukiibi,+256702100033,2025-04-14T06:00:00Z,ACTIVE,PERMANENT,mark.mukiibi@nimbus.demo,ROOFTOP_BAR-CHEF,ROOFTOP_BAR-KITCHEN,
nimbus,GARDEN_CAFE,EMP-035,Nora,Adupa,+256702100034,2025-05-15T06:00:00Z,ACTIVE,PERMANENT,nora.adupa@nimbus.demo,GARDEN_CAFE-WAITER,GARDEN_CAFE-SERVICE,
nimbus,EVENTS_KITCHEN,EMP-036,Isaac,Wekesa,+256702100035,2025-06-16T06:00:00Z,ACTIVE,PERMANENT,isaac.wekesa@nimbus.demo,EVENTS_KITCHEN-EVENT,EVENTS_KITCHEN-MGR,
